name,age,pop,sex
United States,0,3948350,0
United States,1,3962123,0
United States,2,3957772,0
United States,3,4005190,0
United States,4,4003448,0
United States,5,4004858,0
United States,6,4134352,0
United States,7,4154000,0
United States,8,4119524,0
United States,9,4106832,0
United States,10,4115254,0
United States,11,4085636,0
United States,12,4068790,0
United States,13,4169346,0
United States,14,4232480,0
United States,15,4163723,0
United States,16,4167234,0
United States,17,4184077,0
United States,18,4209973,0
United States,19,4274100,0
United States,20,4353919,0
United States,21,4418106,0
United States,22,4537358,0
United States,23,4625145,0
United States,24,4622549,0
United States,25,4445674,0
United States,26,4345824,0
United States,27,4276071,0
United States,28,4298220,0
United States,29,4337242,0
United States,30,4204555,0
United States,31,4274545,0
United States,32,4279181,0
United States,33,4238291,0
United States,34,4327332,0
United States,35,4060723,0
United States,36,3983377,0
United States,37,3944638,0
United States,38,3831675,0
United States,39,3954384,0
United States,40,3834416,0
United States,41,3896141,0
United States,42,4076296,0
United States,43,4313988,0
United States,44,4373174,0
United States,45,4148659,0
United States,46,4065488,0
United States,47,4072981,0
United States,48,4151130,0
United States,49,4402564,0
United States,50,4486171,0
United States,51,4484514,0
United States,52,4477147,0
United States,53,4533392,0
United States,54,4572917,0
United States,55,4420322,0
United States,56,4394523,0
United States,57,4346438,0
United States,58,4191151,0
United States,59,4155005,0
United States,60,3985150,0
United States,61,3834276,0
United States,62,3685772,0
United States,63,3572353,0
United States,64,3488075,0
United States,65,3384449,0
United States,66,3347776,0
United States,67,3485502,0
United States,68,2572527,0
United States,69,2535012,0
United States,70,2466485,0
United States,71,2519748,0
United States,72,2194234,0
United States,73,2002191,0
United States,74,1890366,0
United States,75,1774697,0
United States,76,1694648,0
United States,77,1557239,0
United States,78,1481505,0
United States,79,1414235,0
United States,80,1264072,0
United States,81,1216009,0
United States,82,1153634,0
United States,83,1090465,0
United States,84,1036186,0
United States,85,6162231,0
United States,999,317631125,0
United States,0,2017857,1
United States,1,2023253,1
United States,2,2022502,1
United States,3,2048618,1
United States,4,2043498,1
United States,5,2043467,1
United States,6,2110328,1
United States,7,2122240,1
United States,8,2105122,1
United States,9,2097272,1
United States,10,2099874,1
United States,11,2083687,1
United States,12,2075243,1
United States,13,2128187,1
United States,14,2164228,1
United States,15,2128424,1
United States,16,2130938,1
United States,17,2138356,1
United States,18,2152330,1
United States,19,2176832,1
United States,20,2214800,1
United States,21,2250405,1
United States,22,2304963,1
United States,23,2338690,1
United States,24,2333175,1
United States,25,2242665,1
United States,26,2189492,1
United States,27,2152996,1
United States,28,2162102,1
United States,29,2175700,1
United States,30,2101329,1
United States,31,2132843,1
United States,32,2131589,1
United States,33,2108839,1
United States,34,2162330,1
United States,35,2019067,1
United States,36,1978529,1
United States,37,1953898,1
United States,38,1898939,1
United States,39,1964072,1
United States,40,1896789,1
United States,41,1921390,1
United States,42,2014219,1
United States,43,2131605,1
United States,44,2170755,1
United States,45,2056188,1
United States,46,2013434,1
United States,47,2011428,1
United States,48,2051541,1
United States,49,2174328,1
United States,50,2207130,1
United States,51,2201906,1
United States,52,2195581,1
United States,53,2217669,1
United States,54,2241310,1
United States,55,2157203,1
United States,56,2139953,1
United States,57,2109557,1
United States,58,2027481,1
United States,59,2006583,1
United States,60,1913854,1
United States,61,1836958,1
United States,62,1763466,1
United States,63,1701803,1
United States,64,1661418,1
United States,65,1607688,1
United States,66,1589127,1
United States,67,1653257,1
United States,68,1211480,1
United States,69,1187554,1
United States,70,1149247,1
United States,71,1169356,1
United States,72,1010896,1
United States,73,913008,1
United States,74,857432,1
United States,75,803434,1
United States,76,758378,1
United States,77,689822,1
United States,78,649209,1
United States,79,610723,1
United States,80,540032,1
United States,81,511090,1
United States,82,476976,1
United States,83,442449,1
United States,84,411265,1
United States,85,2108869,1
United States,999,155903520,1
United States,0,1930493,2
United States,1,1938870,2
United States,2,1935270,2
United States,3,1956572,2
United States,4,1959950,2
United States,5,1961391,2
United States,6,2024024,2
United States,7,2031760,2
United States,8,2014402,2
United States,9,2009560,2
United States,10,2015380,2
United States,11,2001949,2
United States,12,1993547,2
United States,13,2041159,2
United States,14,2068252,2
United States,15,2035299,2
United States,16,2036296,2
United States,17,2045721,2
United States,18,2057643,2
United States,19,2097268,2
United States,20,2139119,2
United States,21,2167701,2
United States,22,2232395,2
United States,23,2286455,2
United States,24,2289374,2
United States,25,2203009,2
United States,26,2156332,2
United States,27,2123075,2
United States,28,2136118,2
United States,29,2161542,2
United States,30,2103226,2
United States,31,2141702,2
United States,32,2147592,2
United States,33,2129452,2
United States,34,2165002,2
United States,35,2041656,2
United States,36,2004848,2
United States,37,1990740,2
United States,38,1932736,2
United States,39,1990312,2
United States,40,1937627,2
United States,41,1974751,2
United States,42,2062077,2
United States,43,2182383,2
United States,44,2202419,2
United States,45,2092471,2
United States,46,2052054,2
United States,47,2061553,2
United States,48,2099589,2
United States,49,2228236,2
United States,50,2279041,2
United States,51,2282608,2
United States,52,2281566,2
United States,53,2315723,2
United States,54,2331607,2
United States,55,2263119,2
United States,56,2254570,2
United States,57,2236881,2
United States,58,2163670,2
United States,59,2148422,2
United States,60,2071296,2
United States,61,1997318,2
United States,62,1922306,2
United States,63,1870550,2
United States,64,1826657,2
United States,65,1776761,2
United States,66,1758649,2
United States,67,1832245,2
United States,68,1361047,2
United States,69,1347458,2
United States,70,1317238,2
United States,71,1350392,2
United States,72,1183338,2
United States,73,1089183,2
United States,74,1032934,2
United States,75,971263,2
United States,76,936270,2
United States,77,867417,2
United States,78,832296,2
United States,79,803512,2
United States,80,724040,2
United States,81,704919,2
United States,82,676658,2
United States,83,648016,2
United States,84,624921,2
United States,85,4053362,2
United States,999,161727605,2
Alabama,0,57854,0
Alabama,1,58028,0
Alabama,2,58953,0
Alabama,3,59449,0
Alabama,4,60421,0
Alabama,5,60219,0
Alabama,6,62116,0
Alabama,7,62265,0
Alabama,8,61528,0
Alabama,9,60922,0
Alabama,10,61414,0
Alabama,11,60933,0
Alabama,12,61672,0
Alabama,13,64515,0
Alabama,14,65920,0
Alabama,15,64079,0
Alabama,16,64179,0
Alabama,17,63098,0
Alabama,18,61614,0
Alabama,19,64161,0
Alabama,20,66698,0
Alabama,21,67785,0
Alabama,22,70476,0
Alabama,23,73222,0
Alabama,24,72144,0
Alabama,25,66622,0
Alabama,26,63371,0
Alabama,27,61062,0
Alabama,28,60959,0
Alabama,29,61712,0
Alabama,30,59781,0
Alabama,31,61262,0
Alabama,32,61136,0
Alabama,33,61704,0
Alabama,34,63213,0
Alabama,35,59431,0
Alabama,36,58927,0
Alabama,37,58246,0
Alabama,38,56406,0
Alabama,39,58461,0
Alabama,40,57706,0
Alabama,41,59310,0
Alabama,42,62236,0
Alabama,43,65918,0
Alabama,44,64930,0
Alabama,45,61256,0
Alabama,46,59894,0
Alabama,47,60249,0
Alabama,48,62444,0
Alabama,49,66948,0
Alabama,50,68091,0
Alabama,51,68031,0
Alabama,52,68616,0
Alabama,53,69675,0
Alabama,54,69909,0
Alabama,55,67878,0
Alabama,56,67801,0
Alabama,57,68333,0
Alabama,58,65940,0
Alabama,59,65223,0
Alabama,60,63001,0
Alabama,61,60199,0
Alabama,62,58270,0
Alabama,63,56669,0
Alabama,64,56038,0
Alabama,65,55261,0
Alabama,66,54898,0
Alabama,67,57098,0
Alabama,68,41922,0
Alabama,69,41810,0
Alabama,70,41038,0
Alabama,71,41973,0
Alabama,72,36239,0
Alabama,73,33277,0
Alabama,74,31912,0
Alabama,75,30104,0
Alabama,76,28866,0
Alabama,77,26169,0
Alabama,78,24935,0
Alabama,79,23584,0
Alabama,80,20782,0
Alabama,81,19703,0
Alabama,82,18311,0
Alabama,83,16703,0
Alabama,84,15780,0
Alabama,85,83567,0
Alabama,999,4834455,0
Alabama,0,29508,1
Alabama,1,29451,1
Alabama,2,29879,1
Alabama,3,30513,1
Alabama,4,30764,1
Alabama,5,30709,1
Alabama,6,31585,1
Alabama,7,31826,1
Alabama,8,31407,1
Alabama,9,31022,1
Alabama,10,31293,1
Alabama,11,30989,1
Alabama,12,31424,1
Alabama,13,32920,1
Alabama,14,33639,1
Alabama,15,32518,1
Alabama,16,32675,1
Alabama,17,32239,1
Alabama,18,31138,1
Alabama,19,32222,1
Alabama,20,33379,1
Alabama,21,33990,1
Alabama,22,35460,1
Alabama,23,36141,1
Alabama,24,35841,1
Alabama,25,32831,1
Alabama,26,31296,1
Alabama,27,29869,1
Alabama,28,29702,1
Alabama,29,30110,1
Alabama,30,28835,1
Alabama,31,30071,1
Alabama,32,29730,1
Alabama,33,30174,1
Alabama,34,30900,1
Alabama,35,28794,1
Alabama,36,28455,1
Alabama,37,28157,1
Alabama,38,27268,1
Alabama,39,28359,1
Alabama,40,28080,1
Alabama,41,28480,1
Alabama,42,30125,1
Alabama,43,32051,1
Alabama,44,31783,1
Alabama,45,29918,1
Alabama,46,29147,1
Alabama,47,29269,1
Alabama,48,30334,1
Alabama,49,32487,1
Alabama,50,33183,1
Alabama,51,32811,1
Alabama,52,33286,1
Alabama,53,33614,1
Alabama,54,33902,1
Alabama,55,32686,1
Alabama,56,32461,1
Alabama,57,32847,1
Alabama,58,31636,1
Alabama,59,31164,1
Alabama,60,29788,1
Alabama,61,28491,1
Alabama,62,27601,1
Alabama,63,26774,1
Alabama,64,26424,1
Alabama,65,25946,1
Alabama,66,25827,1
Alabama,67,26860,1
Alabama,68,19445,1
Alabama,69,19302,1
Alabama,70,18821,1
Alabama,71,19132,1
Alabama,72,16456,1
Alabama,73,15118,1
Alabama,74,14251,1
Alabama,75,13271,1
Alabama,76,12506,1
Alabama,77,11255,1
Alabama,78,10588,1
Alabama,79,9958,1
Alabama,80,8579,1
Alabama,81,8053,1
Alabama,82,7352,1
Alabama,83,6452,1
Alabama,84,5918,1
Alabama,85,26700,1
Alabama,999,2337215,1
Alabama,0,28346,2
Alabama,1,28577,2
Alabama,2,29074,2
Alabama,3,28936,2
Alabama,4,29657,2
Alabama,5,29510,2
Alabama,6,30531,2
Alabama,7,30439,2
Alabama,8,30121,2
Alabama,9,29900,2
Alabama,10,30121,2
Alabama,11,29944,2
Alabama,12,30248,2
Alabama,13,31595,2
Alabama,14,32281,2
Alabama,15,31561,2
Alabama,16,31504,2
Alabama,17,30859,2
Alabama,18,30476,2
Alabama,19,31939,2
Alabama,20,33319,2
Alabama,21,33795,2
Alabama,22,35016,2
Alabama,23,37081,2
Alabama,24,36303,2
Alabama,25,33791,2
Alabama,26,32075,2
Alabama,27,31193,2
Alabama,28,31257,2
Alabama,29,31602,2
Alabama,30,30946,2
Alabama,31,31191,2
Alabama,32,31406,2
Alabama,33,31530,2
Alabama,34,32313,2
Alabama,35,30637,2
Alabama,36,30472,2
Alabama,37,30089,2
Alabama,38,29138,2
Alabama,39,30102,2
Alabama,40,29626,2
Alabama,41,30830,2
Alabama,42,32111,2
Alabama,43,33867,2
Alabama,44,33147,2
Alabama,45,31338,2
Alabama,46,30747,2
Alabama,47,30980,2
Alabama,48,32110,2
Alabama,49,34461,2
Alabama,50,34908,2
Alabama,51,35220,2
Alabama,52,35330,2
Alabama,53,36061,2
Alabama,54,36007,2
Alabama,55,35192,2
Alabama,56,35340,2
Alabama,57,35486,2
Alabama,58,34304,2
Alabama,59,34059,2
Alabama,60,33213,2
Alabama,61,31708,2
Alabama,62,30669,2
Alabama,63,29895,2
Alabama,64,29614,2
Alabama,65,29315,2
Alabama,66,29071,2
Alabama,67,30238,2
Alabama,68,22477,2
Alabama,69,22508,2
Alabama,70,22217,2
Alabama,71,22841,2
Alabama,72,19783,2
Alabama,73,18159,2
Alabama,74,17661,2
Alabama,75,16833,2
Alabama,76,16360,2
Alabama,77,14914,2
Alabama,78,14347,2
Alabama,79,13626,2
Alabama,80,12203,2
Alabama,81,11650,2
Alabama,82,10959,2
Alabama,83,10251,2
Alabama,84,9862,2
Alabama,85,56867,2
Alabama,999,2497240,2
Alaska,0,11157,0
Alaska,1,11048,0
Alaska,2,10713,0
Alaska,3,11413,0
Alaska,4,10377,0
Alaska,5,10536,0
Alaska,6,10640,0
Alaska,7,10352,0
Alaska,8,10418,0
Alaska,9,9987,0
Alaska,10,9970,0
Alaska,11,9915,0
Alaska,12,9844,0
Alaska,13,9798,0
Alaska,14,10255,0
Alaska,15,10065,0
Alaska,16,9944,0
Alaska,17,10111,0
Alaska,18,9424,0
Alaska,19,8844,0
Alaska,20,9641,0
Alaska,21,10272,0
Alaska,22,11288,0
Alaska,23,12220,0
Alaska,24,12081,0
Alaska,25,11668,0
Alaska,26,11542,0
Alaska,27,11269,0
Alaska,28,11183,0
Alaska,29,11170,0
Alaska,30,10962,0
Alaska,31,10764,0
Alaska,32,10436,0
Alaska,33,9948,0
Alaska,34,9993,0
Alaska,35,9018,0
Alaska,36,8970,0
Alaska,37,8539,0
Alaska,38,8107,0
Alaska,39,8483,0
Alaska,40,8193,0
Alaska,41,8087,0
Alaska,42,8469,0
Alaska,43,8879,0
Alaska,44,9391,0
Alaska,45,8762,0
Alaska,46,8514,0
Alaska,47,8745,0
Alaska,48,8801,0
Alaska,49,9813,0
Alaska,50,9987,0
Alaska,51,10276,0
Alaska,52,10491,0
Alaska,53,10509,0
Alaska,54,10917,0
Alaska,55,10312,0
Alaska,56,10277,0
Alaska,57,10434,0
Alaska,58,9822,0
Alaska,59,10114,0
Alaska,60,9567,0
Alaska,61,8892,0
Alaska,62,8389,0
Alaska,63,7751,0
Alaska,64,7447,0
Alaska,65,7011,0
Alaska,66,6338,0
Alaska,67,6369,0
Alaska,68,4653,0
Alaska,69,4644,0
Alaska,70,4149,0
Alaska,71,4059,0
Alaska,72,3484,0
