country,age,pop
Canada,Total,34834841
Canada,0,356577
Canada,1,356039
Canada,2,355457
Canada,3,354887
Canada,4,354464
Canada,5,354494
Canada,6,355119
Canada,7,356042
Canada,8,357620
Canada,9,359941
Canada,10,362204
Canada,11,361921
Canada,12,365053
Canada,13,368612
Canada,14,374674
Canada,15,386284
Canada,16,385514
Canada,17,406359
Canada,18,435929
Canada,19,445245
Canada,20,453840
Canada,21,462806
Canada,22,476991
Canada,23,477299
Canada,24,479028
Canada,25,463209
Canada,26,455005
Canada,27,460990
Canada,28,470169
Canada,29,472376
Canada,30,469751
Canada,31,466771
Canada,32,466778
Canada,33,465956
Canada,34,461379
Canada,35,451687
Canada,36,445598
Canada,37,446668
Canada,38,449340
Canada,39,447766
Canada,40,434795
Canada,41,437495
Canada,42,444193
Canada,43,462057
Canada,44,464872
Canada,45,461716
Canada,46,463479
Canada,47,474331
Canada,48,498176
Canada,49,532290
Canada,50,546292
Canada,51,552124
Canada,52,544311
Canada,53,547960
Canada,54,539087
Canada,55,527030
Canada,56,521086
Canada,57,509905
Canada,58,489661
Canada,59,484941
Canada,60,467609
Canada,61,447679
Canada,62,432842
Canada,63,423597
Canada,64,412555
Canada,65,404057
Canada,66,400130
Canada,67,398147
Canada,68,346303
Canada,69,321803
Canada,70,309717
Canada,71,297357
Canada,72,275076
Canada,73,261796
Canada,74,244469
Canada,75,232998
Canada,76,218345
Canada,77,205648
Canada,78,199455
Canada,79,188310
Canada,80,177011
Canada,81,172017
Canada,82,164148
Canada,83,154626
Canada,84,143059
Canada,85,533845
China,1,16129305
China,2,15935422
China,3,15710704
China,4,15631685
China,5,15688443
China,6,15679035
China,7,15539800
China,8,15317237
China,9,14998764
China,10,14777382
China,11,14786825
China,12,15015255
China,13,15407156
China,14,15932503
China,15,16576425
China,16,17254088
China,17,17925004
China,18,18994150
China,19,19877869
China,20,20160798
China,21,20177521
China,22,20709223
China,23,21788201
China,24,29547289
China,25,25945925
China,26,24396012
China,27,25794362
China,28,21707784
China,29,19453980
China,30,19490618
China,31,19989005
China,32,23663313
China,33,17818109
China,34,18528292
China,35,18592032
China,36,18136370
China,37,18604205
China,38,19644398
China,39,20771437
China,40,22540248
China,41,23560961
China,42,23730786
China,43,25294861
China,44,25328447
China,45,26339413
China,46,23734110
China,47,21975375
China,48,24031042
China,49,23329443
China,50,23990882
China,51,25550277
China,52,14995360
China,53,10785420
China,54,13469201
China,55,13329456
China,56,17574973
China,57,16818985
China,58,16064932
China,59,17509623
China,60,16418037
China,61,15278419
China,62,14810548
China,63,12586703
China,64,13094580
China,65,10932225
China,66,10232377
China,67,9681653
China,68,8736410
China,69,8104874
China,70,7503827
China,71,6914396
China,72,6850152
China,73,6519466
China,74,6058281
China,75,5592336
China,76,5483166
China,77,5109748
China,78,4805334
China,79,4343498
China,80,4012186
China,81,3598096
China,82,2971977
China,83,2593959
China,84,2336358
China,85,6439150
Japan,0,1034226
Japan,1,1055082
Japan,2,1075811
Japan,3,1094772
Japan,4,1112145
Japan,5,1129438
Japan,6,1136403
Japan,7,1130686
Japan,8,1103881
Japan,9,1098751
Japan,10,1131352
Japan,11,1154565
Japan,12,1174400
Japan,13,1190591
Japan,14,1192434
Japan,15,1230918
Japan,16,1236913
Japan,17,1239613
Japan,18,1252620
Japan,19,1266296
Japan,20,1215849
Japan,21,1204572
Japan,22,1226290
Japan,23,1221441
Japan,24,1225908
Japan,25,1260071
Japan,26,1311218
Japan,27,1355883
Japan,28,1391948
Japan,29,1451739
Japan,30,1489676
Japan,31,1497634
Japan,32,1501408
Japan,33,1534570
Japan,34,1583949
Japan,35,1590781
Japan,36,1647987
Japan,37,1692677
Japan,38,1757878
Japan,39,1838353
Japan,40,1941181
Japan,41,1954191
Japan,42,1912338
Japan,43,1862641
Japan,44,1808757
Japan,45,1791050
Japan,46,1757377
Japan,47,1655996
Japan,48,1456593
Japan,49,1674383
Japan,50,1598740
Japan,51,1555463
Japan,52,1509723
Japan,53,1501212
Japan,54,1517881
Japan,55,1539309
Japan,56,1497445
Japan,57,1481643
Japan,58,1555418
Japan,59,1595590
Japan,60,1623192
Japan,61,1718427
Japan,62,1809599
Japan,63,1922792
Japan,64,2071410
Japan,65,2207947
Japan,66,2159806
Japan,67,1879069
Japan,68,1325405
Japan,69,1464923
Japan,70,1659527
Japan,71,1620440
Japan,72,1629826
Japan,73,1545026
Japan,74,1377381
Japan,75,1226174
Japan,76,1279981
Japan,77,1281764
Japan,78,1238822
Japan,79,1152172
Japan,80,1080362
Japan,81,1038766
Japan,82,978284
Japan,83,899843
Japan,84,818025
Japan,85,3046535
"Korea,South",0,404792
"Korea,South",1,407899
"Korea,South",2,412334
"Korea,South",3,418525
"Korea,South",4,426419
"Korea,South",5,433721
"Korea,South",6,437937
"Korea,South",7,439642
"Korea,South",8,435610
"Korea,South",9,448994
"Korea,South",10,475334
"Korea,South",11,482991
"Korea,South",12,513667
"Korea,South",13,582917
"Korea,South",14,611795
"Korea,South",15,613249
"Korea,South",16,642501
"Korea,South",17,664168
"Korea,South",18,680616
"Korea,South",19,692166
"Korea,South",20,690931
"Korea,South",21,695427
"Korea,South",22,694625
"Korea,South",23,658170
"Korea,South",24,596675
"Korea,South",25,624609
"Korea,South",26,619479
"Korea,South",27,613179
"Korea,South",28,642558
"Korea,South",29,639006
"Korea,South",30,697758
"Korea,South",31,762968
"Korea,South",32,821694
"Korea,South",33,857028
"Korea,South",34,829421
"Korea,South",35,784227
"Korea,South",36,709367
"Korea,South",37,715687
"Korea,South",38,706738
"Korea,South",39,749817
"Korea,South",40,805772
"Korea,South",41,827205
"Korea,South",42,845003
"Korea,South",43,844032
"Korea,South",44,859237
"Korea,South",45,876357
"Korea,South",46,849590
"Korea,South",47,767555
"Korea,South",48,769118
"Korea,South",49,776462
"Korea,South",50,793633
"Korea,South",51,848847
"Korea,South",52,848449
"Korea,South",53,859144
"Korea,South",54,831894
"Korea,South",55,822810
"Korea,South",56,761775
"Korea,South",57,703572
"Korea,South",58,665547
"Korea,South",59,687594
"Korea,South",60,576328
"Korea,South",61,483473
"Korea,South",62,544383
